,artists,explicit,href,id,name,popularity,album_art,album_release_date,artist_names
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4dwdTW1Lfiq0cM8nBAqIIz'}, 'href': 'https://api.spotify.com/v1/artists/4dwdTW1Lfiq0cM8nBAqIIz', 'id': '4dwdTW1Lfiq0cM8nBAqIIz', 'name': 'Of Monsters and Men', 'type': 'artist', 'uri': 'spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz'}]",False,https://api.spotify.com/v1/tracks/12o5Dx6tvMTxyhqWO3BcRj,12o5Dx6tvMTxyhqWO3BcRj,Sleepwalker,43,https://i.scdn.co/image/ab67616d0000b273fec252c81f016de75a54ab27,2019-07-26,Of Monsters and Men
1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2vhqrXGRTaYwFTeO61R9Fm'}, 'href': 'https://api.spotify.com/v1/artists/2vhqrXGRTaYwFTeO61R9Fm', 'id': '2vhqrXGRTaYwFTeO61R9Fm', 'name': 'Da Da Yue Dui', 'type': 'artist', 'uri': 'spotify:artist:2vhqrXGRTaYwFTeO61R9Fm'}]",False,https://api.spotify.com/v1/tracks/7vn49ZdixEcFx3mFlSwtgF,7vn49ZdixEcFx3mFlSwtgF,南方,34,https://i.scdn.co/image/ab67616d0000b273decb08101ffa7332257daa90,2003-10-29,Da Da Yue Dui
2,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4IlxI05VmVDx8ShdgKEnLK'}, 'href': 'https://api.spotify.com/v1/artists/4IlxI05VmVDx8ShdgKEnLK', 'id': '4IlxI05VmVDx8ShdgKEnLK', 'name': 'The Chairs', 'type': 'artist', 'uri': 'spotify:artist:4IlxI05VmVDx8ShdgKEnLK'}]",False,https://api.spotify.com/v1/tracks/63oSPrP54in4X41vq6cNlL,63oSPrP54in4X41vq6cNlL,Rollin' On,43,https://i.scdn.co/image/ab67616d0000b2732be2920f420f892abddf12da,2018-06-29,The Chairs
3,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0neVDcSdi4GMgFduUudWve'}, 'href': 'https://api.spotify.com/v1/artists/0neVDcSdi4GMgFduUudWve', 'id': '0neVDcSdi4GMgFduUudWve', 'name': 'The Fur.\u200b', 'type': 'artist', 'uri': 'spotify:artist:0neVDcSdi4GMgFduUudWve'}]",False,https://api.spotify.com/v1/tracks/44TBCNp2SHKqOVurtFtg5C,44TBCNp2SHKqOVurtFtg5C,Movie Star,43,https://i.scdn.co/image/ab67616d0000b273ad98155815bce67e51386e8a,2019-08-25,The Fur.​
4,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4j56EQDQu5XnL7R3E9iFJT'}, 'href': 'https://api.spotify.com/v1/artists/4j56EQDQu5XnL7R3E9iFJT', 'id': '4j56EQDQu5XnL7R3E9iFJT', 'name': 'Young the Giant', 'type': 'artist', 'uri': 'spotify:artist:4j56EQDQu5XnL7R3E9iFJT'}]",False,https://api.spotify.com/v1/tracks/1UqhkbzB1kuFwt2iy4h29Q,1UqhkbzB1kuFwt2iy4h29Q,Cough Syrup,72,https://i.scdn.co/image/ab67616d0000b27351729fae66d02122c4951153,2011,Young the Giant
5,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4O9yXuMzkIoRezqlpgkdjK'}, 'href': 'https://api.spotify.com/v1/artists/4O9yXuMzkIoRezqlpgkdjK', 'id': '4O9yXuMzkIoRezqlpgkdjK', 'name': '康姆士(COM’Z)', 'type': 'artist', 'uri': 'spotify:artist:4O9yXuMzkIoRezqlpgkdjK'}]",False,https://api.spotify.com/v1/tracks/0LmeqJwizXCHNGVHMQfMy9,0LmeqJwizXCHNGVHMQfMy9,"你要如何,我們就如何",37,https://i.scdn.co/image/ab67616d0000b27372ffe6b45ec36d5b2aa628bf,2016-12-27,康姆士(COM’Z)
6,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3iW4UAZQOJEXLW7L3H04gm'}, 'href': 'https://api.spotify.com/v1/artists/3iW4UAZQOJEXLW7L3H04gm', 'id': '3iW4UAZQOJEXLW7L3H04gm', 'name': 'Re-TROS', 'type': 'artist', 'uri': 'spotify:artist:3iW4UAZQOJEXLW7L3H04gm'}]",False,https://api.spotify.com/v1/tracks/5Cxh2jX79yWkG4yyFNicDw,5Cxh2jX79yWkG4yyFNicDw,Pigs In The River,30,https://i.scdn.co/image/ab67616d0000b273f872056a98cc79ec458cefe2,2017-09-01,Re-TROS
7,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4fmdz90I7bCk35iK6GZ9fK'}, 'href': 'https://api.spotify.com/v1/artists/4fmdz90I7bCk35iK6GZ9fK', 'id': '4fmdz90I7bCk35iK6GZ9fK', 'name': '康士坦的變化球', 'type': 'artist', 'uri': 'spotify:artist:4fmdz90I7bCk35iK6GZ9fK'}]",False,https://api.spotify.com/v1/tracks/1viPIivqn5vmMsFUk5CJnw,1viPIivqn5vmMsFUk5CJnw,美好的事可不可以發生在我身上,45,https://i.scdn.co/image/ab67616d0000b273847a9a7cf072dabb8cd451d8,2020-12-20,康士坦的變化球
8,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4dwdTW1Lfiq0cM8nBAqIIz'}, 'href': 'https://api.spotify.com/v1/artists/4dwdTW1Lfiq0cM8nBAqIIz', 'id': '4dwdTW1Lfiq0cM8nBAqIIz', 'name': 'Of Monsters and Men', 'type': 'artist', 'uri': 'spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz'}]",False,https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B,2ihCaVdNZmnHZWt0fvAM7B,Little Talks,81,https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262,2012-01-01,Of Monsters and Men
9,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/75dQReiBOHN37fQgWQrIAJ'}, 'href': 'https://api.spotify.com/v1/artists/75dQReiBOHN37fQgWQrIAJ', 'id': '75dQReiBOHN37fQgWQrIAJ', 'name': 'Local Natives', 'type': 'artist', 'uri': 'spotify:artist:75dQReiBOHN37fQgWQrIAJ'}]",False,https://api.spotify.com/v1/tracks/5wCVLW9qMtIY9IkBeyYnh6,5wCVLW9qMtIY9IkBeyYnh6,When Am I Gonna Lose You,67,https://i.scdn.co/image/ab67616d0000b273daf19ee32be2d4917c266b09,2019-04-26,Local Natives
