,artists,explicit,href,id,name,popularity,album_art,album_release_date,artist_names,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_name,genres,genre
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4dwdTW1Lfiq0cM8nBAqIIz'}, 'href': 'https://api.spotify.com/v1/artists/4dwdTW1Lfiq0cM8nBAqIIz', 'id': '4dwdTW1Lfiq0cM8nBAqIIz', 'name': 'Of Monsters and Men', 'type': 'artist', 'uri': 'spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz'}]",False,https://api.spotify.com/v1/tracks/12o5Dx6tvMTxyhqWO3BcRj,12o5Dx6tvMTxyhqWO3BcRj,Sleepwalker,43,https://i.scdn.co/image/ab67616d0000b273fec252c81f016de75a54ab27,2019-07-26,Of Monsters and Men,0.608,0.742,2,-6.111,1,0.0386,0.0266,0.000674,0.376,0.672,80.01,Indie Mix,"['folk-pop', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",indie pop
1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2vhqrXGRTaYwFTeO61R9Fm'}, 'href': 'https://api.spotify.com/v1/artists/2vhqrXGRTaYwFTeO61R9Fm', 'id': '2vhqrXGRTaYwFTeO61R9Fm', 'name': 'Da Da Yue Dui', 'type': 'artist', 'uri': 'spotify:artist:2vhqrXGRTaYwFTeO61R9Fm'}]",False,https://api.spotify.com/v1/tracks/7vn49ZdixEcFx3mFlSwtgF,7vn49ZdixEcFx3mFlSwtgF,南方,34,https://i.scdn.co/image/ab67616d0000b273decb08101ffa7332257daa90,2003-10-29,Da Da Yue Dui,0.468,0.527,2,-4.737,1,0.026,0.018,0.000523,0.125,0.289,136.011,Indie Mix,"['chinese indie', 'wuhan indie']",chinese indie
2,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4IlxI05VmVDx8ShdgKEnLK'}, 'href': 'https://api.spotify.com/v1/artists/4IlxI05VmVDx8ShdgKEnLK', 'id': '4IlxI05VmVDx8ShdgKEnLK', 'name': 'The Chairs', 'type': 'artist', 'uri': 'spotify:artist:4IlxI05VmVDx8ShdgKEnLK'}]",False,https://api.spotify.com/v1/tracks/63oSPrP54in4X41vq6cNlL,63oSPrP54in4X41vq6cNlL,Rollin' On,43,https://i.scdn.co/image/ab67616d0000b2732be2920f420f892abddf12da,2018-06-29,The Chairs,0.687,0.556,5,-9.366,1,0.0286,0.414,0.0189,0.182,0.517,103.907,Indie Mix,['chinese indie'],chinese indie
3,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0neVDcSdi4GMgFduUudWve'}, 'href': 'https://api.spotify.com/v1/artists/0neVDcSdi4GMgFduUudWve', 'id': '0neVDcSdi4GMgFduUudWve', 'name': 'The Fur.\u200b', 'type': 'artist', 'uri': 'spotify:artist:0neVDcSdi4GMgFduUudWve'}]",False,https://api.spotify.com/v1/tracks/44TBCNp2SHKqOVurtFtg5C,44TBCNp2SHKqOVurtFtg5C,Movie Star,43,https://i.scdn.co/image/ab67616d0000b273ad98155815bce67e51386e8a,2019-08-25,The Fur.​,0.703,0.447,4,-9.076,1,0.0291,0.813,0.0175,0.0715,0.485,87.988,Indie Mix,['chinese indie'],chinese indie
4,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4j56EQDQu5XnL7R3E9iFJT'}, 'href': 'https://api.spotify.com/v1/artists/4j56EQDQu5XnL7R3E9iFJT', 'id': '4j56EQDQu5XnL7R3E9iFJT', 'name': 'Young the Giant', 'type': 'artist', 'uri': 'spotify:artist:4j56EQDQu5XnL7R3E9iFJT'}]",False,https://api.spotify.com/v1/tracks/1UqhkbzB1kuFwt2iy4h29Q,1UqhkbzB1kuFwt2iy4h29Q,Cough Syrup,72,https://i.scdn.co/image/ab67616d0000b27351729fae66d02122c4951153,2011,Young the Giant,0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,Indie Mix,"['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",indie pop
5,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4O9yXuMzkIoRezqlpgkdjK'}, 'href': 'https://api.spotify.com/v1/artists/4O9yXuMzkIoRezqlpgkdjK', 'id': '4O9yXuMzkIoRezqlpgkdjK', 'name': '康姆士(COM’Z)', 'type': 'artist', 'uri': 'spotify:artist:4O9yXuMzkIoRezqlpgkdjK'}]",False,https://api.spotify.com/v1/tracks/0LmeqJwizXCHNGVHMQfMy9,0LmeqJwizXCHNGVHMQfMy9,"你要如何,我們就如何",37,https://i.scdn.co/image/ab67616d0000b27372ffe6b45ec36d5b2aa628bf,2016-12-27,康姆士(COM’Z),0.445,0.544,11,-6.819,1,0.0281,0.23,0.0,0.105,0.159,149.977,Indie Mix,['chinese indie'],chinese indie
6,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3iW4UAZQOJEXLW7L3H04gm'}, 'href': 'https://api.spotify.com/v1/artists/3iW4UAZQOJEXLW7L3H04gm', 'id': '3iW4UAZQOJEXLW7L3H04gm', 'name': 'Re-TROS', 'type': 'artist', 'uri': 'spotify:artist:3iW4UAZQOJEXLW7L3H04gm'}]",False,https://api.spotify.com/v1/tracks/5Cxh2jX79yWkG4yyFNicDw,5Cxh2jX79yWkG4yyFNicDw,Pigs In The River,30,https://i.scdn.co/image/ab67616d0000b273f872056a98cc79ec458cefe2,2017-09-01,Re-TROS,0.795,0.812,9,-8.389,0,0.0376,0.027,0.579,0.0804,0.423,119.99,Indie Mix,"['chinese indie', 'chinese indie rock', 'chinese post-punk']",chinese indie
7,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4fmdz90I7bCk35iK6GZ9fK'}, 'href': 'https://api.spotify.com/v1/artists/4fmdz90I7bCk35iK6GZ9fK', 'id': '4fmdz90I7bCk35iK6GZ9fK', 'name': '康士坦的變化球', 'type': 'artist', 'uri': 'spotify:artist:4fmdz90I7bCk35iK6GZ9fK'}]",False,https://api.spotify.com/v1/tracks/1viPIivqn5vmMsFUk5CJnw,1viPIivqn5vmMsFUk5CJnw,美好的事可不可以發生在我身上,45,https://i.scdn.co/image/ab67616d0000b273847a9a7cf072dabb8cd451d8,2020-12-20,康士坦的變化球,0.469,0.613,5,-6.258,0,0.0409,0.0462,0.0,0.0818,0.184,74.989,Indie Mix,"['chinese indie', 'southeast asian post-rock', 'taiwan rock']",chinese indie
8,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4dwdTW1Lfiq0cM8nBAqIIz'}, 'href': 'https://api.spotify.com/v1/artists/4dwdTW1Lfiq0cM8nBAqIIz', 'id': '4dwdTW1Lfiq0cM8nBAqIIz', 'name': 'Of Monsters and Men', 'type': 'artist', 'uri': 'spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz'}]",False,https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B,2ihCaVdNZmnHZWt0fvAM7B,Little Talks,81,https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262,2012-01-01,Of Monsters and Men,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,Indie Mix,"['folk-pop', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",indie pop
9,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/75dQReiBOHN37fQgWQrIAJ'}, 'href': 'https://api.spotify.com/v1/artists/75dQReiBOHN37fQgWQrIAJ', 'id': '75dQReiBOHN37fQgWQrIAJ', 'name': 'Local Natives', 'type': 'artist', 'uri': 'spotify:artist:75dQReiBOHN37fQgWQrIAJ'}]",False,https://api.spotify.com/v1/tracks/5wCVLW9qMtIY9IkBeyYnh6,5wCVLW9qMtIY9IkBeyYnh6,When Am I Gonna Lose You,67,https://i.scdn.co/image/ab67616d0000b273daf19ee32be2d4917c266b09,2019-04-26,Local Natives,0.452,0.834,11,-4.657,1,0.0967,0.0417,0.00036,0.119,0.514,142.088,Indie Mix,"['chillwave', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'modern rock', 'shimmer pop', 'stomp and holler']",indie folk
