,href,id,name,date_added,album_name,album_art,album_release_date,artist_names,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,month_year
0,https://api.spotify.com/v1/tracks/5npZEp7Pl3DscsHdkPPknA,5npZEp7Pl3DscsHdkPPknA,故鄉,2021-05-30T19:50:51Z,那一年,https://i.scdn.co/image/ab67616d0000b273e2c9b6725dcb95e6d95584f6,2000-11-30,Xu Wei,"['c-pop', 'chinese indie', 'chinese singer-songwriter', 'northwest china indie']",0.559,0.43,7,-6.109,0,0.025,0.281,1.53e-05,0.101,0.223,142.076,2021-05
1,https://api.spotify.com/v1/tracks/7ibp2IFN7pujFdmh39yTZZ,7ibp2IFN7pujFdmh39yTZZ,採石,2021-05-30T10:33:07Z,冀西南林路行,https://i.scdn.co/image/ab67616d0000b273102e88057f9ee21ec54b8634,2020-12-22,万能青年旅店,"['chinese indie', 'chinese indie rock']",0.476,0.57,9,-8.619,0,0.05,0.206,0.334,0.116,0.527,130.894,2021-05
2,https://api.spotify.com/v1/tracks/6lhuBaygBqxBjdcXrM685k,6lhuBaygBqxBjdcXrM685k,Rue,2021-05-20T03:28:49Z,Rue,https://i.scdn.co/image/ab67616d0000b2736c49a1aab054d5a62558af43,2020-08-26,girl in red,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']",0.579,0.77,4,-9.163,0,0.0586,0.12,0.0553,0.172,0.275,125.011,2021-05
3,https://api.spotify.com/v1/tracks/4HHa6HZxKsgTLldpwQPs4D,4HHa6HZxKsgTLldpwQPs4D,Apartment 402,2021-05-19T08:47:40Z,if i could make it go quiet,https://i.scdn.co/image/ab67616d0000b2731e84dffc6dfde82a3e3a91d2,2021-04-30,girl in red,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']",0.44,0.441,5,-8.347,0,0.0454,0.684,0.864,0.11,0.0488,125.241,2021-05
4,https://api.spotify.com/v1/tracks/0RahVXshAPeX11gQRpPhXP,0RahVXshAPeX11gQRpPhXP,存盤點(Check Point),2021-05-14T22:27:27Z,浪潮上岸(Tears In Ocean),https://i.scdn.co/image/ab67616d0000b27346d69c5b65f8675119cf0779,2019-08-14,Orange Ocean,['chinese indie'],0.435,0.54,2,-4.598,1,0.0268,0.0877,1.82e-05,0.102,0.183,76.008,2021-05
5,https://api.spotify.com/v1/tracks/77yuzxCS3csrgTPSW0pvyk,77yuzxCS3csrgTPSW0pvyk,O,2021-05-11T18:35:09Z,Ghost Stories,https://i.scdn.co/image/ab67616d0000b273f864bcdcc245f06831d17ae0,2014-05-19,Coldplay,"['permanent wave', 'pop']",0.371,0.216,10,-14.727,1,0.0358,0.911,0.826,0.0934,0.0645,136.998,2021-05
6,https://api.spotify.com/v1/tracks/6QpPVC3iLIlWuYsm5kwIke,6QpPVC3iLIlWuYsm5kwIke,Only a Matter of Time,2021-05-10T17:32:53Z,Only a Matter of Time,https://i.scdn.co/image/ab67616d0000b2732d85c3dce2a30b1aea7a653e,2021-01-28,Joshua Bassett,"['alt z', 'pop', 'post-teen pop', 'social media pop']",0.504,0.271,7,-9.988,1,0.0305,0.883,0.0,0.122,0.45,83.973,2021-05
7,https://api.spotify.com/v1/tracks/0tCChyNux8WLRr7UhAw2Ja,0tCChyNux8WLRr7UhAw2Ja,魚,2021-05-07T21:45:08Z,太陽,https://i.scdn.co/image/ab67616d0000b27319b121510d9d452e3f98fc25,2009-01-22,Cheer Chen,"['chinese indie', 'mandopop', 'taiwan pop', 'taiwan singer-songwriter']",0.501,0.382,7,-7.747,1,0.032,0.84,0.0,0.076,0.259,137.752,2021-05
8,https://api.spotify.com/v1/tracks/4GbwoZj04YWasx5DuEyHEI,4GbwoZj04YWasx5DuEyHEI,無畏 (電視劇《以家人之名》片頭主題曲),2021-05-01T19:03:54Z,電視劇《以家人之名》原聲帶,https://i.scdn.co/image/ab67616d0000b273aa01b81735438bf33e279e97,2020-08-11,Di Ma,"['chinese indie', 'chinese minyao', 'chinese singer-songwriter']",0.534,0.317,11,-9.18,0,0.0276,0.787,0.000723,0.0904,0.114,144.001,2021-05
9,https://api.spotify.com/v1/tracks/1bxeQQXenRYsdXtiQr5Iko,1bxeQQXenRYsdXtiQr5Iko,差不多姑娘,2021-04-28T22:33:37Z,摩天動物園,https://i.scdn.co/image/ab67616d0000b273a86c7932c5072d2221907af1,2019-12-26,G.E.M.,['mandopop'],0.759,0.714,6,-7.333,0,0.205,0.223,0.0,0.209,0.5,87.987,2021-04
