,explicit,href,id,name,popularity,date_added,album_name,album_art,album_release_date,artist_names,genres,genre
0,False,https://api.spotify.com/v1/tracks/4BZufKgQKJNUEd4NNYHc63,4BZufKgQKJNUEd4NNYHc63,Glow (feat. Jeremy Zucker),44,2020-03-16T11:14:48Z,Glow (feat. Jeremy Zucker) - Single,https://i.scdn.co/image/ab67616d0000b273746ac43c82157a4c2bb2146f,2015-12-11,"Justice Skolnik, Jeremy Zucker",[],Unknown
1,True,https://api.spotify.com/v1/tracks/6sjBzi06wbrdzkyHWTF221,6sjBzi06wbrdzkyHWTF221,Better Now - Acoustic,45,2020-03-16T11:08:13Z,Better Now (Acoustic),https://i.scdn.co/image/ab67616d0000b2738b146b57c686ca01eaf1e230,2017-09-08,Etham,"['alt z', 'indie cafe pop', 'pop']",pop
2,False,https://api.spotify.com/v1/tracks/1nDOeWBfRKA5YNQ8bKWzMM,1nDOeWBfRKA5YNQ8bKWzMM,head first,67,2020-03-10T15:28:06Z,head first,https://i.scdn.co/image/ab67616d0000b2733d80cc0afef5bf4cda483349,2019-05-17,Christian French,"['alt z', 'electropop', 'pop']",pop
3,False,https://api.spotify.com/v1/tracks/7nDYw1nNAW4dAqgmW2W3tq,7nDYw1nNAW4dAqgmW2W3tq,Almost (Sweet Music),0,2020-02-18T14:06:21Z,Almost (Sweet Music),https://i.scdn.co/image/ab67616d0000b273b72e0c5271a33a982a38ebae,2019-01-16,Hozier,"['irish singer-songwriter', 'modern rock', 'pop']",pop
4,True,https://api.spotify.com/v1/tracks/2IoVnTEyj8NdFBpWoEFrMZ,2IoVnTEyj8NdFBpWoEFrMZ,Overtime,52,2020-02-15T17:22:12Z,Overtime,https://i.scdn.co/image/ab67616d0000b273a8eb60dbb60a166dcf03658b,2019-07-24,Big Sean,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",pop rap
5,False,https://api.spotify.com/v1/tracks/18uwL0vNUanqZH0ro2QcOP,18uwL0vNUanqZH0ro2QcOP,comethru,80,2020-02-03T18:17:15Z,"summer,",https://i.scdn.co/image/ab67616d0000b273cb16227d90152c2a5022bba1,2018-09-28,Jeremy Zucker,"['electropop', 'pop', 'post-teen pop']",pop
6,False,https://api.spotify.com/v1/tracks/0BHNx4kXZBpSjtgc4WNaDz,0BHNx4kXZBpSjtgc4WNaDz,Too Good,0,2020-02-03T17:32:15Z,Views,https://i.scdn.co/image/ab67616d0000b273baafa08907a9f9e0ec1a0786,2016-05-06,"Drake, Rihanna","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",pop rap
7,True,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",80,2020-02-03T17:26:10Z,us,https://i.scdn.co/image/ab67616d0000b27308862f843ea27f44f8e8cbd8,2016-03-25,"gnash, Olivia O'Brien","['alt z', 'electropop', 'indie cafe pop', 'pop', 'sad rap', 'social media pop']",pop
8,False,https://api.spotify.com/v1/tracks/6FE2iI43OZnszFLuLtvvmg,6FE2iI43OZnszFLuLtvvmg,Classic,81,2020-02-03T16:55:30Z,MKTO,https://i.scdn.co/image/ab67616d0000b273a3aa50c6d18d38be136bd67d,2012,MKTO,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",pop
9,True,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",76,2020-02-03T16:33:12Z,When It's Dark Out,https://i.scdn.co/image/ab67616d0000b27398acfa8c055deedc25e6081d,2015-12-04,"G-Eazy, Bebe Rexha","['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",pop rap
